numChars,numWords,avgWordLen,hasPunctuation,capsRatio,totalEntities,hasHashtags,totalHashtags,hasURLs,totalURLs,hasUserMentions,totalUserMentions,wasRetweeted,isRetweet,numPunctuation,numDigits,gender
19,5,3,True,0.473684210526,0,False,0,False,0,False,0,False,True,1,0,M
81,24,3,True,0.0740740740741,2,False,0,True,1,True,1,False,True,12,4,F
33,8,4,True,0.151515151515,1,False,0,False,0,True,1,False,True,3,0,M
49,10,4,True,0.163265306122,1,False,0,False,0,True,1,False,False,6,0,F
19,6,3,False,0.0,0,False,0,False,0,False,0,False,True,0,0,M
103,26,3,True,0.0,0,False,0,False,0,False,0,False,True,5,0,F
67,15,4,True,0.0298507462687,1,True,1,False,0,False,0,False,True,1,0,F
27,6,4,True,0.0740740740741,1,False,0,False,0,True,1,False,False,2,0,F
63,16,3,True,0.031746031746,0,False,0,False,0,False,0,False,True,2,0,F
100,25,4,True,0.13,1,False,0,True,1,False,0,False,True,14,5,F
78,27,2,True,0.102564102564,1,False,0,False,0,True,1,False,False,10,0,F
105,23,4,True,0.295238095238,1,False,0,True,1,False,0,False,True,17,16,F
3,1,3,True,0.333333333333,0,False,0,False,0,False,0,False,True,6,0,F
41,12,3,True,0.0975609756098,1,False,0,False,0,True,1,False,False,7,0,M
43,11,3,False,0.046511627907,0,False,0,False,0,False,0,False,True,0,0,F
39,8,4,True,0.0512820512821,1,False,0,False,0,True,1,False,True,2,0,F
57,21,2,True,0.0877192982456,0,False,0,False,0,False,0,False,True,3,0,F
32,8,4,True,0.0,1,False,0,False,0,True,1,False,False,3,3,F
62,17,3,True,0.0645161290323,1,False,0,False,0,True,1,False,True,2,1,F
75,16,4,True,0.173333333333,1,False,0,True,1,False,0,False,True,6,4,F
20,7,2,True,0.15,0,False,0,False,0,False,0,False,True,6,0,F
33,8,4,True,0.0909090909091,1,False,0,False,0,True,1,False,False,3,1,M
30,7,4,True,0.0666666666667,0,False,0,False,0,False,0,False,True,6,0,F
25,8,3,True,0.08,0,False,0,False,0,False,0,False,True,1,0,F
30,8,3,False,0.0666666666667,0,False,0,False,0,False,0,False,True,0,0,F
100,18,5,True,0.16,4,False,0,False,0,True,4,False,True,9,0,F
23,5,4,True,0.260869565217,2,False,0,True,1,True,1,False,False,6,4,M
23,9,2,True,0.0,0,False,0,False,0,False,0,False,True,8,0,F
41,10,4,True,0.0,0,False,0,False,0,False,0,False,True,2,0,F
16,3,5,True,0.0625,1,False,0,False,0,True,1,False,False,2,0,F
65,15,4,True,0.0923076923077,0,False,0,False,0,False,0,False,True,9,0,F
70,19,3,True,0.0857142857143,2,False,0,False,0,True,2,False,False,7,3,F
65,13,5,True,0.138461538462,1,False,0,False,0,True,1,True,True,4,0,M
98,24,4,True,0.122448979592,2,False,0,True,1,True,1,False,True,16,2,F
